,LST_DATE,T_DAILY_MAX,T_DAILY_MIN,T_DAILY_AVG,P_DAILY_CALC
3209,20221014,18.9,9.9,14.1,0
3210,20221015,22.9,11.3,17.6,0
3211,20221016,22.7,12.2,16.2,7.7
3212,20221017,19,8.2,14,0
3213,20221018,11,2.9,6.2,0
3214,20221019,10.8,3.9,6.8,0
3215,20221020,14.5,5.7,9.9,0
3216,20221021,17.4,6.1,12.2,0
3217,20221022,19.8,9.8,14.3,0
3218,20221023,17.7,6.6,13,0
3219,20221024,21.8,11,15.3,0
3220,20221025,19.6,12,14.4,0
3221,20221026,18.6,10.9,13.6,0.8
3222,20221027,16.9,8.2,12,0
3223,20221028,13,5.5,9.2,0
3224,20221029,15.4,6.7,10.5,0
3225,20221030,15,5.8,11,0
3226,20221031,16,11.1,13.1,7.4
3227,20221101,22.1,13.4,16.9,0
3228,20221102,17.8,12.7,14.9,0
3229,20221103,19.3,10.6,14.8,0
3230,20221104,22.5,12.8,17.2,0
3231,20221105,24.4,16.1,19,0.7
3232,20221106,20.7,17.1,18.8,4.5
3233,20221107,25.8,14.6,20.5,0
3234,20221108,16.1,6,11.1,0
3235,20221109,14,4.8,8.9,0
3236,20221110,17,6.3,12.3,0
3237,20221111,21,13,17.4,64.6
3238,20221112,20.2,11.4,17.3,0
3239,20221113,11.4,0.7,5.5,0
3240,20221114,7.5,-1.2,2.8,0
3241,20221115,3.3,-0.9,1.4,33.1
3242,20221116,10.4,2,5.3,0
3243,20221117,6.6,-1.5,2.1,0
3244,20221118,6.8,-1.1,2.3,0
3245,20221119,7.5,-1.3,3.4,0
3246,20221120,5.6,-2.1,1.6,0
3247,20221121,8.5,-2.7,2.8,0
3248,20221122,13.8,5.1,9.4,0
3249,20221123,15.8,8.2,11.5,0
3250,20221124,14.5,6.9,10.9,0
3251,20221125,19.9,7.4,12.8,0
3252,20221126,16.6,5.3,10.6,0
3253,20221127,15.2,6.2,10.1,5.3
3254,20221128,14.3,5.7,10.7,0
3255,20221129,11.4,5.1,7.5,0
3256,20221130,14.7,2.4,7.8,9.3
3257,20221201,7.4,-0.3,3.7,0
3258,20221202,9.9,-1.5,4.4,0
3259,20221203,14.9,6.1,10,4.8
3260,20221204,7.4,1.8,4.2,0
3261,20221205,8.4,0.2,4.1,0
3262,20221206,11.2,4,6.2,6.6
3263,20221207,18.5,7.6,11.9,2.3
3264,20221208,15.4,6.5,10.1,0.6
3265,20221209,6.9,4.1,5.5,0.2
3266,20221210,5.4,2.6,3.7,0
3267,20221211,9.6,2.3,5.3,0
3268,20221212,7.2,1.4,3.6,0
3269,20221213,5,0.3,2,0
3270,20221214,2.5,-2.3,0.7,3.4
3271,20221215,2,-1.1,0,38.5
3272,20221216,8.6,0.3,4.6,0
3273,20221217,7.4,1.5,4.3,0
3274,20221218,4.4,-2.6,1.4,0
3275,20221219,2.7,-3.1,-0.3,0
3276,20221220,3.2,-5.3,-1.5,0
3277,20221221,5.5,-2.9,0.7,0
3278,20221222,7.1,-1.8,1.5,51.8
3279,20221223,5.5,-14.7,-5.3,2.9
3280,20221224,-6.9,-16.8,-11.5,0
3281,20221225,-0.1,-9.1,-4.9,0
3282,20221226,-0.3,-8,-3.6,0
3283,20221227,6.9,-3.9,1.7,0
3284,20221228,9.5,-0.9,4.8,0
3285,20221229,15.7,1,9.6,0
3286,20221230,17.9,9.8,13.6,0
3287,20221231,14.3,9.3,12,12.6
3288,20230101,18,10.4,14.1,0
3289,20230102,18.2,10.6,14.5,0
3290,20230103,18.7,10.4,14.7,0
3291,20230104,16.3,13.1,14.6,0
3292,20230105,17.6,8,13.4,0
3293,20230106,10.5,1.9,6.7,0
3294,20230107,9.6,0.7,4.6,0
3295,20230108,1.6,-0.9,0.3,6.6
3296,20230109,10.6,-0.6,4.2,0
3297,20230110,6.3,-0.7,3.5,0
3298,20230111,4.9,1.1,2.9,2.3
3299,20230112,11.1,1.9,5.4,12.4
3300,20230113,10.5,1.7,6.8,1.6
3301,20230114,4.4,-2.7,0.7,0
3302,20230115,7.6,-3.9,1,0
3303,20230116,13.5,1.3,7.9,0
3304,20230117,12.4,3.5,8.5,5.8
3305,20230118,17.5,6.9,12.2,0
3306,20230119,14.9,3.5,7.1,3.5
3307,20230120,14.2,1.6,7,0
3308,20230121,7.3,0.8,2.9,0
3309,20230122,2,-1.5,0.6,6.1
3310,20230123,9,0.6,3.5,1.6
3311,20230124,9.9,0.4,4.7,0
3312,20230125,6,-0.9,1.6,17.9
3313,20230126,8,0.9,4.7,0
3314,20230127,5.4,0.2,2.5,0
3315,20230128,13.5,1.6,7.7,0
3316,20230129,9.6,2.9,5.7,0.8
3317,20230130,13.7,4.3,9.9,0
3318,20230131,13.2,0.3,5.7,9.9
3319,20230201,0.5,-1.1,-0.3,3.7
3320,20230202,4.4,-1.4,0.1,0
3321,20230203,4,-7.7,-0.3,0
3322,20230204,0.6,-11.5,-5.3,0
3323,20230205,11.6,-2.2,4.5,0
3324,20230206,13.9,1.5,8.1,0
3325,20230207,12.5,0.9,6.7,0
3326,20230208,19.1,11.1,14.5,0
3327,20230209,19.9,8.4,13.8,0
3328,20230210,16.6,6.5,12.7,0
3329,20230211,11.4,3.9,6.3,0
3330,20230212,4.2,-0.5,1.2,35.7
3331,20230213,11.9,1.1,7.5,0.3
3332,20230214,16.2,6.7,11.3,0
3333,20230215,21,6.5,13,0.4
3334,20230216,19.2,11.2,15.1,0
3335,20230217,17.7,-0.3,10.2,17.1
3336,20230218,8.4,-3.9,2.4,0
3337,20230219,15.5,0.8,8.4,0
3338,20230220,14.9,8.8,11.7,0
3339,20230221,19.2,9.4,13.7,0
3340,20230222,12.4,4.8,9.4,5.3
3341,20230223,25.6,9.2,19.5,0
3342,20230224,20.9,3.8,13.8,0
3343,20230225,3.8,-0.1,1.2,0.8
3344,20230226,14.9,0.4,6.6,0
3345,20230227,10.6,5.1,7.3,6.5
3346,20230228,16.9,4.7,9.3,0
3347,20230301,14.7,4.9,9.2,0
3348,20230302,18,9.7,14.6,0.6
3349,20230303,11.4,2.3,5.8,15.4
3350,20230304,15.2,3.8,9.8,0
3351,20230305,17.3,5.6,11.3,0
3352,20230306,16.2,4.6,10.4,0
3353,20230307,16,3.9,9.6,0
3354,20230308,12.3,-1.6,5.1,0
3355,20230309,15,1.2,7.4,0
3356,20230310,6.8,3.7,4.9,2
3357,20230311,8.1,0.1,3.7,0
3358,20230312,1.4,-1.2,-0.3,6.6
3359,20230313,8.8,-0.5,3.2,0
3360,20230314,6.6,-2.9,0.6,0
3361,20230315,11,-3.3,3.6,0
3362,20230316,17.8,2.3,10.3,0
3363,20230317,15.1,8.6,11.7,0.3
3364,20230318,11.7,1.8,6.2,0
3365,20230319,5.5,-4,0.5,0
3366,20230320,10.1,-3.1,3.2,0
3367,20230321,17.1,5.5,10.6,0
3368,20230322,15.8,7.7,11.2,0
3369,20230323,27.6,7.6,17.4,0
3370,20230324,21.5,6.8,14.6,2.8
3371,20230325,19.4,5.4,10.6,3.8
3372,20230326,21.1,10.6,15.9,0
3373,20230327,19.9,8.1,13.4,0
3374,20230328,14.3,4.8,9.8,2.6
3375,20230329,14,2,8.2,0
3376,20230330,14.5,2.7,8.3,0
3377,20230331,16.2,3.4,9,8.2
3378,20230401,24.1,7.5,16,2.8
3379,20230402,14.1,4.6,9.4,0
3380,20230403,20.8,4.8,12.5,0
3381,20230404,26.6,13.2,19.8,0
3382,20230405,27.4,16.5,22.4,0
3383,20230406,28.3,14.2,22.4,0
3384,20230407,14.3,5.1,8.1,3.1
3385,20230408,9.6,4.5,6.9,0
3386,20230409,14.6,1.7,8,0
3387,20230410,16.7,5.2,10.9,0
3388,20230411,23.4,8.3,16.7,0
3389,20230412,27,15.2,21,0
3390,20230413,28.8,18.5,23.1,0
3391,20230414,25.2,14.7,19.4,3.7
3392,20230415,23.2,14.3,18.5,7
3393,20230416,24.2,12.8,20,0.7
3394,20230417,17,8.1,12.6,0
3395,20230418,22.4,10.4,16,0
3396,20230419,24.4,6.1,16.1,0
3397,20230420,29.5,14.4,23,0
3398,20230421,28.1,17,23,0
3399,20230422,18.9,9.4,13.6,23.4
3400,20230423,17.1,5.7,11.7,0
3401,20230424,14.8,4.4,9.2,0
3402,20230425,14.8,3.7,9.2,0
3403,20230426,18.4,6.8,12.4,0.5
3404,20230427,21,9.4,14.6,2.4
3405,20230428,12.6,9.4,11.2,88
3406,20230429,22,7.9,14.7,0
3407,20230430,18.9,10.4,14.9,10
3408,20230501,13.4,6.1,9.9,0
3409,20230502,14.7,6.7,10.7,0
3410,20230503,13.4,5.9,9.4,0
3411,20230504,17.2,6.3,11.3,0
3412,20230505,19.4,9.3,13.9,0
3413,20230506,21.7,10.1,16.2,0
3414,20230507,23.7,12,17.3,3.8
3415,20230508,27.8,17.4,22.6,0
3416,20230509,18.3,12.4,15.2,1.6
3417,20230510,21.1,8.1,15.6,0
3418,20230511,25.2,13.2,19.1,0
3419,20230512,27.1,15.2,21.7,0.2
3420,20230513,23.8,15.4,19.6,14.5
3421,20230514,23.1,14.3,18.4,0
3422,20230515,17,11.8,14.4,0
3423,20230516,23.5,14.7,19,3.9
3424,20230517,23,13.4,17.9,0
3425,20230518,18.7,9.4,13.8,0
3426,20230519,21.8,10.1,15.4,0
3427,20230520,-9999,-9999,-9999,23.2
3428,20230521,22.8,12.1,17.7,0
3429,20230522,23.1,15.1,18.8,0
3430,20230523,20.6,13,16.9,0
3431,20230524,22.9,11,17.4,0
3432,20230525,18.8,10.6,14.8,0
3433,20230526,19.9,7.9,14.8,0
3434,20230527,20.9,9.6,15.4,0
3435,20230528,19.3,12.5,15.5,2.3
3436,20230529,21.6,14.3,16.8,24.1
3437,20230530,21.7,12.1,16.5,1.1
3438,20230531,22.8,12,18,0
3439,20230601,25.3,13.1,19.7,0
3440,20230602,27.9,17.8,23.1,0
3441,20230603,27.6,15.6,22.9,0
3442,20230604,18.1,12.7,15,0
3443,20230605,23.2,13.6,18.3,0
3444,20230606,24.6,14.9,19.6,0
3445,20230607,23.5,13.6,18.6,9.7
3446,20230608,21.8,12.8,17.1,0
3447,20230609,21.6,14.4,18.3,0
3448,20230610,26.1,16.2,21.4,0
3449,20230611,27.3,18.5,22.9,0
3450,20230612,24.9,15.6,19.6,2.4
3451,20230613,23.5,15.2,19.8,0
3452,20230614,23.5,18.2,20.6,0
3453,20230615,25.7,14.6,20.7,0
3454,20230616,24.9,16.3,19.8,2.3
3455,20230617,25.9,14.6,20,0
3456,20230618,26.6,16.7,21.5,0
3457,20230619,26.7,17.7,20.3,20.4
3458,20230620,23.1,17.7,19.9,0
3459,20230621,18.7,13.3,15.8,65.5
3460,20230622,17,12.6,14.9,39.4
3461,20230623,23.8,16.2,19.3,5.8
3462,20230624,27.2,18.3,21.9,0
3463,20230625,28.2,18.8,23.7,0
3464,20230626,28.4,16.8,22.4,23.2
3465,20230627,25.2,16.5,21.5,2.6
3466,20230628,26.3,17.5,21.9,0
3467,20230629,25.8,17.3,21.6,0
3468,20230630,26.2,19.1,22.6,0
3469,20230701,28.1,20.5,22.7,0.3
3470,20230702,30.6,20.5,25.9,0
3471,20230703,29.4,20.9,25.5,7.8
3472,20230704,29.5,20.8,25.5,0
3473,20230705,29.3,21.6,25.7,0
3474,20230706,30.3,21,25.9,0
3475,20230707,29.9,20.2,24,9.7
3476,20230708,28.5,21.1,24.7,0.3
3477,20230709,25.7,19.5,22,20.8
3478,20230710,27.6,19.3,23.1,0.2
3479,20230711,27.9,19,23.8,0
3480,20230712,29,20.4,25,0
3481,20230713,29.8,19,25,7.7
3482,20230714,29.1,19.7,24.4,0
3483,20230715,30,20.8,23.9,85.7
3484,20230716,29.2,20.8,24.2,9.1
3485,20230717,27.7,19.5,24.1,0
3486,20230718,27.8,20.2,24.9,0
3487,20230719,28.2,21.6,24.8,0
3488,20230720,28.5,19.5,24.2,0
3489,20230721,28.4,19,23.8,10.2
3490,20230722,24.8,18.8,21.5,0
3491,20230723,27.3,19.5,22.5,0
3492,20230724,27.4,19.1,23,6.3
3493,20230725,28.9,20.2,24.3,12.6
3494,20230726,28.8,18.9,24.7,0
3495,20230727,31.4,23.6,28.3,0
3496,20230728,31.5,20.8,27.8,4.1
3497,20230729,31.4,20.8,27.1,0
3498,20230730,26.6,21.2,23.8,0
3499,20230731,26.6,17.8,22.7,0
3500,20230801,24.6,17.1,20.6,0
3501,20230802,25.1,18.7,21.3,0
3502,20230803,20.9,16.7,18.3,15.1
3503,20230804,25.4,16.9,20.2,1.3
3504,20230805,28.3,20,23.8,0.4
3505,20230806,27.5,20.1,22.1,10.5
3506,20230807,28.1,20.8,23.6,8.5
3507,20230808,26.7,19.7,23.2,0
3508,20230809,27.4,18.2,23,0
3509,20230810,25.6,19.6,22.4,0.2
3510,20230811,27.9,20.1,23.5,0
3511,20230812,29.5,20.3,25.6,0
3512,20230813,31.6,23,27.3,0
3513,20230814,28.3,22.1,25.2,1.4
3514,20230815,29.1,21.5,25.7,0
3515,20230816,27.2,18.6,23,0
3516,20230817,28.7,18.5,23.8,0
3517,20230818,28.3,17.1,23.7,0
3518,20230819,25.5,15.9,20.7,0
3519,20230820,29.1,19.4,24.4,0
3520,20230821,29.5,21.5,25.8,0
3521,20230822,27.3,18.8,24.1,0
3522,20230823,26.2,16.7,21.2,0
3523,20230824,27.4,16.8,21.7,0
3524,20230825,31.5,21,26.1,0
3525,20230826,31,20.8,25.6,35.5
3526,20230827,26.5,19.9,22.1,52.9
3527,20230828,23.6,19.8,21,2.1
3528,20230829,25.1,19.8,21.9,0.2
3529,20230830,27,19.3,23.1,1.3
3530,20230831,24.5,15.7,19.8,0
3531,20230901,24.1,13.6,19,0
3532,20230902,26.8,15.2,21.1,0
3533,20230903,30,18.9,25.3,0
3534,20230904,31.9,22,26.7,0
3535,20230905,32,22.2,26.9,0
3536,20230906,32.1,22.6,27.4,0
3537,20230907,31.5,22.8,27.3,0
3538,20230908,30,18.1,24.2,0.5
3539,20230909,26.5,17.8,20.8,1.2
3540,20230910,24.9,17.8,20.4,11.1
3541,20230911,27.7,17.8,22.1,0
3542,20230912,28.3,18.9,22.8,0
3543,20230913,26.7,16.6,20.7,1.3
3544,20230914,24.6,15,18.8,0
3545,20230915,23.2,11.4,17.4,0
3546,20230916,25.5,14.9,19.8,0
3547,20230917,19.3,14.3,16.9,1.8
3548,20230918,24,13.8,17.9,0
3549,20230919,24.2,14.9,19,0
3550,20230920,24.6,14.3,19.1,0
3551,20230921,23.7,16.4,19.6,0
3552,20230922,20.7,13.1,16.2,1.6
3553,20230923,14,10.3,12.8,55.8
3554,20230924,20.9,13.6,17.1,4.2
3555,20230925,20.9,15.7,17.6,0.4
3556,20230926,15.8,13.3,13.9,0.5
3557,20230927,15.7,12.1,13.7,0.2
3558,20230928,19.8,10.4,14.7,0
3559,20230929,22.7,14.7,17.2,0
3560,20230930,22,14.2,18,0
3561,20231001,24.7,14.9,19.6,0
3562,20231002,25.2,16.8,20.7,0
3563,20231003,25.5,16.2,21,0
3564,20231004,25.7,16.7,20.7,0
3565,20231005,23.3,14.6,18.6,0
3566,20231006,24.2,16.3,19.8,0
3567,20231007,19.7,8.2,14.4,4.6
3568,20231008,14.4,8.1,10.3,0
3569,20231009,16.5,7.9,10.7,2.3
3570,20231010,19.2,8.5,14.6,0
3571,20231011,18.6,10.5,14.9,0
3572,20231012,21,11.2,16,0
3573,20231013,20.4,11.2,16,0
3574,20231014,14.4,11.9,13.3,7.8
3575,20231015,15.5,8.1,10.8,0
3576,20231016,14.7,6.5,9.8,0
3577,20231017,16.7,7.6,11.3,0
3578,20231018,14.9,9.6,11.5,0
3579,20231019,19.1,8.4,13.2,0
3580,20231020,14.2,9.7,11.8,0.8
3581,20231021,17.5,9.2,13.6,0
3582,20231022,17.8,7.4,12.8,0
3583,20231023,17.6,5.6,11.5,0
3584,20231024,20.7,10.3,14.9,0
3585,20231025,25.5,14.2,19.1,0
3586,20231026,25.4,17,20.7,0
3587,20231027,25.5,18.9,21.7,0
3588,20231028,28,19.8,23.8,0
3589,20231029,28.1,18.3,23,0
3590,20231030,26.9,9.5,19.1,0
3591,20231031,9.5,4.1,6.7,0
3592,20231101,8.4,-0.3,3.3,0
3593,20231102,9.7,-0.3,4.5,0
3594,20231103,15.7,2.8,9.5,0
3595,20231104,20.4,8.1,14.2,0
3596,20231105,21.3,12.7,16.7,0
3597,20231106,17.6,8.3,13.2,0
3598,20231107,25,13.4,19.7,0
3599,20231108,19.5,10,14.7,0
3600,20231109,26.4,9.6,18.9,0
3601,20231110,16.3,4,8.2,1.2
3602,20231111,14.6,4.7,9.2,0
3603,20231112,11.1,4.1,6.8,0
3604,20231113,13.9,3.1,8.4,0
3605,20231114,16.2,6.6,11.1,0
3606,20231115,14,8.1,10.5,0
3607,20231116,20.2,10.1,14.7,0
3608,20231117,19.8,11.1,15.5,1.1
3609,20231118,16.3,5.6,12.3,0.4
3610,20231119,14.6,4.4,9.4,0
3611,20231120,9.7,3,6.4,0
3612,20231121,9.8,1.8,4.4,92.9
3613,20231122,15,5.1,9.6,0
3614,20231123,13.1,2.8,8.1,0
3615,20231124,10.3,2.7,6.5,0
3616,20231125,4.8,-1.1,1.3,0
3617,20231126,7.1,-0.7,3.3,0
3618,20231127,9.3,-0.6,5.4,0
3619,20231128,5.7,-5.9,0,0
3620,20231129,4.5,-6.4,-0.8,0
3621,20231130,13.4,2.5,8.3,0
3622,20231201,10.4,3.4,7.1,3.6
3623,20231202,17.2,7.4,12.2,8
3624,20231203,17.7,10.2,13,9.6
3625,20231204,12,5.9,9.1,0
3626,20231205,8.4,2.9,5.7,0.8
3627,20231206,7.5,0.5,3.1,0
3628,20231207,9.8,0.6,4.8,0
3629,20231208,14.2,3.6,9.3,0
3630,20231209,15,3.6,10.1,0
3631,20231210,13.4,3,11.5,41.2
3632,20231211,6.8,-0.4,2.2,5.4
3633,20231212,7.8,-2.4,3.4,0
3634,20231213,12.2,3.3,7.2,0
3635,20231214,8.4,1,4.7,0
3636,20231215,15.1,5.1,10,0
3637,20231216,12.8,6.5,9.4,0
3638,20231217,9.2,3.3,5.9,37.6
3639,20231218,10.5,0,7,0
3640,20231219,5.3,-3.4,0.5,0
3641,20231220,8.7,-4,2.8,0
3642,20231221,9.2,2.8,5.6,0
3643,20231222,8.8,0.3,4.1,0
3644,20231223,7.4,1.4,4.6,0
3645,20231224,9.4,2.6,6.6,0
3646,20231225,10,3.2,7.1,4.3
3647,20231226,8.3,5.7,6.9,4.9
3648,20231227,10.3,7,8.8,12.1
3649,20231228,11.9,5.9,9.5,0
3650,20231229,7.5,2.6,5.2,1.6
3651,20231230,8,2,4.1,0
3652,20231231,8.8,1.2,4.9,0
